epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7886.41,0.76673,0.43115,0.93996,0.97901,0.99879,0.98822,0.7663,0.86267,0.43042,0.99229,0.000478762,0.000478762,0.000478762
74,7992.13,0.75944,0.435,0.93707,0.98314,0.9949,0.99162,0.76168,0.87304,0.42485,0.99529,0.000462259,0.000462259,0.000462259
75,8098.91,0.75576,0.42113,0.94476,0.97877,0.99922,0.99255,0.75921,0.86274,0.41434,0.99283,0.000445756,0.000445756,0.000445756
76,8204.88,0.73087,0.40949,0.93413,0.9796,0.99934,0.99108,0.77035,0.8641,0.41417,0.98979,0.000429253,0.000429253,0.000429253
77,8309.96,0.73464,0.42274,0.93302,0.9838,0.98893,0.99107,0.7732,0.85198,0.41258,0.98179,0.000412749,0.000412749,0.000412749
78,8417.85,0.7398,0.42677,0.9373,0.98072,0.99869,0.99115,0.77379,0.84682,0.41123,0.98181,0.000396246,0.000396246,0.000396246
79,8522.66,0.75178,0.4115,0.94052,0.97996,0.9949,0.99161,0.76804,0.86134,0.41325,0.98683,0.000379743,0.000379743,0.000379743
80,8627.18,0.74462,0.41319,0.93738,0.98016,0.99432,0.99191,0.75414,0.86008,0.40878,0.98603,0.000363239,0.000363239,0.000363239
81,8731.87,0.72463,0.40622,0.9319,0.97973,0.9949,0.99085,0.76151,0.85784,0.41676,0.9885,0.000346736,0.000346736,0.000346736
82,8836.49,0.71238,0.39754,0.93015,0.98531,0.99915,0.99026,0.75979,0.86593,0.41666,0.98803,0.000330233,0.000330233,0.000330233
83,8944.3,0.7245,0.3996,0.93273,0.98364,0.99995,0.99081,0.76554,0.86566,0.41268,0.98718,0.000313729,0.000313729,0.000313729
84,9052.57,0.73184,0.40672,0.94117,0.97911,1,0.99147,0.76554,0.85181,0.40467,0.98139,0.000297226,0.000297226,0.000297226
85,9159.26,0.71201,0.40208,0.92716,0.97691,0.99918,0.99255,0.76593,0.84615,0.40097,0.98045,0.000280723,0.000280723,0.000280723
86,9266.66,0.70594,0.4024,0.93358,0.97727,0.99946,0.99258,0.76244,0.85308,0.40445,0.98261,0.00026422,0.00026422,0.00026422
87,9373.91,0.7056,0.39456,0.92547,0.98397,0.99434,0.99208,0.76818,0.85781,0.40476,0.9854,0.000247716,0.000247716,0.000247716
88,9478.97,0.71551,0.39906,0.93849,0.98243,0.99927,0.99117,0.77597,0.85465,0.3988,0.98391,0.000231213,0.000231213,0.000231213
