timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1787399906.4256709,26,1,0.930404,0.927731,737,262,737,210,meter,0.819000,0.060675,-0.099432,0.819000,0.059914,-0.099432,0.820000,1
1787399906.4256709,26,2,0.938331,0.907164,735,553,742,499,meter,0.793000,0.075433,0.187099,0.793000,0.075528,0.186274,0.794000,1
1787399906.4256709,26,3,0.937478,0.951933,899,554,900,497,meter,0.806000,0.223041,0.191060,0.806000,0.223318,0.193744,0.808000,1
1787399906.7599337,27,1,0.929875,0.921817,737,261,737,210,meter,0.816500,0.059586,-0.100035,0.816500,0.059914,-0.099432,0.820000,1
1787399906.7599337,27,2,0.941058,0.900358,735,551,742,499,meter,0.795000,0.075623,0.185806,0.795000,0.075528,0.186219,0.794000,1
1787399906.7599337,27,3,0.933409,0.947350,899,552,900,497,meter,0.810000,0.224148,0.189312,0.810000,0.223594,0.193328,0.808000,1
1787399906.948285,28,1,0.932378,0.927671,737,261,737,210,meter,0.821500,0.059951,-0.100647,0.821500,0.059951,-0.099614,0.820000,1
1787399906.948285,28,2,0.935330,0.913112,734,554,742,499,meter,0.794000,0.074649,0.188216,0.794000,0.075528,0.186219,0.794000,1
1787399906.948285,28,3,0.942896,0.946048,899,558,900,497,meter,0.808000,0.223594,0.196915,0.808000,0.223594,0.193744,0.808000,1
1787399907.126335,29,1,0.931280,0.928791,737,262,737,210,meter,0.819000,0.059768,-0.099432,0.819000,0.059914,-0.099432,0.820000,1
1787399907.126335,29,2,0.939268,0.904377,735,552,742,499,meter,0.794000,0.075528,0.186454,0.794000,0.075528,0.186219,0.794000,1
1787399907.126335,29,3,0.939195,0.951238,899,556,900,496,meter,0.814000,0.225255,0.195667,0.814000,0.223871,0.194465,0.809000,1
1787399907.3184097,30,1,0.934301,0.925802,736,261,737,210,meter,0.819000,0.059768,-0.100341,0.819000,0.059878,-0.099614,0.820000,1
1787399907.3184097,30,2,0.938108,0.906853,735,551,742,499,meter,0.796000,0.075718,0.186040,0.796000,0.075528,0.186040,0.794000,1
1787399907.3184097,30,3,0.938480,0.952254,899,553,900,496,meter,0.807000,0.223318,0.190402,0.807000,0.223594,0.193744,0.808000,1
1787399907.5705435,31,1,0.932285,0.920347,737,261,737,209,meter,0.818500,0.059732,-0.100280,0.818500,0.059878,-0.099614,0.819000,1
1787399907.5705435,31,2,0.939045,0.903311,735,552,742,499,meter,0.794000,0.075528,0.185572,0.794000,0.075528,0.185984,0.794000,1
1787399907.5705435,31,3,0.941589,0.953132,899,560,900,496,meter,0.809000,0.223871,0.198954,0.809000,0.223871,0.193744,0.809000,1
1787399907.7974765,32,1,0.931820,0.925951,737,262,737,210,meter,0.818500,0.060638,-0.099371,0.818500,0.059878,-0.099614,0.819000,1
