frame_index,timestamp_second,image_name,status,blur,std
0,0.000,full_frame_000000.jpg,saved,205.1912,60.3493
30,1.000,full_frame_000030.jpg,saved,197.9868,60.1471
60,1.999,full_frame_000060.jpg,saved,204.9091,60.0832
90,2.999,full_frame_000090.jpg,saved,182.6161,59.2983
120,3.999,full_frame_000120.jpg,saved,186.2262,59.8212
150,4.998,full_frame_000150.jpg,saved,198.7013,61.3644
180,5.998,full_frame_000180.jpg,saved,159.0100,60.7157
210,6.997,full_frame_000210.jpg,saved,191.5330,60.9442
240,7.997,full_frame_000240.jpg,saved,163.1063,60.9963
270,8.997,full_frame_000270.jpg,saved,171.2157,58.7795
300,9.996,full_frame_000300.jpg,saved,220.4172,59.9521
330,10.996,full_frame_000330.jpg,saved,209.9136,60.8652
360,11.996,full_frame_000360.jpg,saved,166.3413,60.6151
390,12.995,full_frame_000390.jpg,saved,227.3366,61.6668
420,13.995,full_frame_000420.jpg,saved,184.3607,62.1325
450,14.995,full_frame_000450.jpg,saved,95.2259,61.4806
480,15.994,full_frame_000480.jpg,saved,190.7296,63.2066
510,16.994,full_frame_000510.jpg,saved,178.5892,64.0579
540,17.993,full_frame_000540.jpg,saved,172.7222,63.0805
570,18.993,full_frame_000570.jpg,saved,112.1412,63.7545
600,19.993,full_frame_000600.jpg,saved,166.4427,61.8535
630,20.992,full_frame_000630.jpg,saved,99.2299,58.1105
