timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1786437114.0883722,22,1,0.921115,0.904228,748,295,748,244,meter,0.843000,0.092324,-0.046214,0.843000,0.087957,-0.050771,0.840500,1
1786437114.0883722,22,2,0.916360,0.899985,897,304,894,253,meter,0.816000,0.224001,-0.035678,0.816000,0.219888,-0.040632,0.816000,1
1786437114.0883722,22,3,0.920026,0.951851,765,575,767,514,meter,0.753000,0.096643,0.196881,0.753000,0.092769,0.192732,0.753000,1
1786437114.0883722,22,4,0.918275,0.893751,934,574,928,517,meter,0.767000,0.241975,0.199691,0.767000,0.239917,0.193776,0.766000,1
1786437114.2167413,23,1,0.912674,0.905057,748,294,747,244,meter,0.843000,0.092324,-0.046214,0.843000,0.091586,-0.050363,0.841000,1
1786437114.2167413,23,2,0.921599,0.894898,895,303,893,253,meter,0.816000,0.222194,-0.036584,0.816000,0.222013,-0.040255,0.816000,1
1786437114.2167413,23,3,0.918145,0.956922,764,575,766,514,meter,0.754000,0.095936,0.197143,0.754000,0.095039,0.193406,0.753000,1
1786437114.2167413,23,4,0.918391,0.894772,934,574,928,516,meter,0.766000,0.241659,0.198580,0.766000,0.239917,0.195094,0.766000,1
1786437114.3226018,24,1,0.922526,0.895163,749,295,748,245,meter,0.845000,0.093479,-0.046324,0.845000,0.092270,-0.049986,0.841500,1
1786437114.3226018,24,2,0.909933,0.896117,898,304,894,253,meter,0.816000,0.224905,-0.036584,0.816000,0.222330,-0.039753,0.816000,1
1786437114.3226018,24,3,0.925605,0.955641,765,576,767,515,meter,0.751000,0.096386,0.196358,0.751000,0.096000,0.193535,0.753000,1
1786437114.3226018,24,4,0.917641,0.877644,934,574,928,516,meter,0.766000,0.241659,0.198580,0.766000,0.241078,0.195979,0.766000,1
1786437114.4402409,25,1,0.911163,0.905064,748,296,747,244,meter,0.842000,0.092215,-0.045225,0.842000,0.092270,-0.049897,0.842000,1
1786437114.4402409,25,2,0.917925,0.890327,895,302,893,252,meter,0.817000,0.222466,-0.037535,0.817000,0.222466,-0.038871,0.816000,1
1786437114.4402409,25,3,0.924541,0.947682,767,573,767,512,meter,0.750000,0.097919,0.194432,0.750000,0.096225,0.193600,0.752500,1
1786437114.4402409,25,4,0.917010,0.887765,934,572,929,512,meter,0.768000,0.242290,0.198246,0.768000,0.241659,0.196531,0.766000,1
1786437114.54912,26,1,0.907988,0.897906,749,292,750,239,meter,0.842000,0.093147,-0.048962,0.842000,0.092324,-0.049897,0.842000,1
1786437114.54912,26,2,0.945931,0.895729,898,298,895,247,meter,0.817000,0.225180,-0.040255,0.817000,0.223234,-0.038871,0.816500,1
1786437114.54912,26,3,0.945404,0.921292,767,571,770,509,meter,0.755000,0.098571,0.194053,0.755000,0.096450,0.193826,0.753000,1
1786437114.54912,26,4,0.922417,0.883164,938,568,930,508,meter,0.767000,0.245372,0.194583,0.767000,0.241659,0.195979,0.766000,1
1786437114.6614246,27,1,0.915741,0.910018,750,286,750,234,meter,0.841000,0.093968,-0.055437,0.841000,0.092680,-0.049986,0.842000,1
1786437114.6614246,27,2,0.923592,0.896638,898,294,896,241,meter,0.817000,0.225180,-0.043882,0.817000,0.224453,-0.039778,0.816500,1
1786437114.6614246,27,3,0.940433,0.930091,769,566,771,506,meter,0.758000,0.100642,0.189777,0.758000,0.096578,0.193600,0.753000,1
1786437114.6614246,27,4,0.930748,0.875432,939,562,933,504,meter,0.770000,0.247185,0.189363,0.770000,0.241659,0.195094,0.766000,1
1786437114.9459445,28,1,0.911161,0.908504,755,282,752,231,meter,0.845000,0.099093,-0.058514,0.845000,0.093092,-0.049986,0.842000,1
1786437114.9459445,28,2,0.909203,0.877090,901,291,897,238,meter,0.814000,0.227057,-0.046431,0.814000,0.224905,-0.039778,0.816000,1
1786437114.9459445,28,3,0.926532,0.940217,774,563,776,502,meter,0.754000,0.104285,0.187102,0.754000,0.096835,0.193600,0.753500,1
1786437114.9459445,28,4,0.927675,0.878472,944,558,938,499,meter,0.768000,0.250795,0.185462,0.768000,0.241817,0.195094,0.766000,1
1786437115.0939467,29,1,0.925526,0.923209,744,277,745,225,meter,0.843000,0.088590,-0.063054,0.843000,0.093092,-0.049986,0.842000,1
1786437115.0939467,29,2,0.921914,0.908159,895,285,890,231,meter,0.816000,0.222194,-0.052884,0.816000,0.224905,-0.039778,0.816000,1
1786437115.0939467,29,3,0.942869,0.953171,763,555,766,494,meter,0.759000,0.095732,0.181604,0.759000,0.096835,0.193600,0.754000,1
1786437115.0939467,29,4,0.934522,0.881799,931,553,926,495,meter,0.770000,0.240363,0.181672,0.770000,0.241817,0.195094,0.766000,1
1786437115.2024508,30,1,0.917873,0.918580,750,275,750,223,meter,0.843000,0.094191,-0.063989,0.843000,0.093313,-0.050333,0.842000,1
1786437115.2024508,30,2,0.922950,0.906691,899,286,895,232,meter,0.815000,0.225531,-0.051915,0.815000,0.225042,-0.040280,0.816000,1
1786437115.2024508,30,3,0.960311,0.932588,765,554,769,495,meter,0.757000,0.097156,0.179445,0.757000,0.097092,0.193535,0.754000,1
1786437115.2024508,30,4,0.947970,0.845477,935,553,929,496,meter,0.772000,0.244407,0.182144,0.772000,0.242133,0.194627,0.766000,1
1786437115.30696,31,1,0.915615,0.904981,749,273,749,222,meter,0.838000,0.092705,-0.065470,0.838000,0.093092,-0.050771,0.842000,1
1786437115.30696,31,2,0.920369,0.907460,899,283,896,230,meter,0.817000,0.226085,-0.054762,0.817000,0.225042,-0.040632,0.816000,1
1786437115.30696,31,3,0.961367,0.923636,766,553,768,493,meter,0.757000,0.097994,0.178605,0.757000,0.097537,0.192796,0.754000,1
1786437115.30696,31,4,0.945056,0.857246,934,552,930,495,meter,0.768000,0.242290,0.180348,0.768000,0.242290,0.193526,0.766000,1
1786437115.4156456,32,1,0.911619,0.890533,759,282,757,228,meter,0.845000,0.102836,-0.058514,0.845000,0.093313,-0.050771,0.842000,1
